"","geneID","Symbol","H1","H2","H3","H4","CM1","CM2","CM3","CM4","CS1","CS2","CS3","CS4","CI1","CI2","CI3","CI4"
"BCDIN3D","BCDIN3D","BCDIN3D",3.90820275144722,0,14.7826337437741,8.98751770369936,6.40328490219273,9.6900783915829,10.5194656033387,4.54478521489654,5.93429217966789,3.27536817305642,10.9874437362591,13.8998659889714,0,7.37243947088232,3.33054995682239,9.17522184903704
"RACGAP1","RACGAP1","RACGAP1",3.90820275144722,7.66890782037658,2.46377229062902,2.99583923456645,1.74635042787075,1.93801567831658,6.80671303745444,2.59702012279802,2.37371687186715,3.27536817305642,2.89143256217345,3.47496649724286,11.532536909256,16.5879888094852,22.2036663788159,13.7628327735556
"SMARCD1","SMARCD1","SMARCD1",49.5039015183314,42.9458837941088,46.8116735219514,59.9167846913291,62.8686154033468,59.1094781886557,60.0228331484619,49.3433823331625,51.0349127451438,39.3044180766771,23.7097470098223,28.7925795485837,49.0132818643381,40.5484170898528,39.9665994818686,45.8761092451852
"COX14","COX14","COX14",183.685529318019,174.851098304586,463.189190638256,193.730937168631,214.218985818811,181.2044659226,233.284619556393,142.836106753891,195.83164192904,227.092193331912,172.907667217972,188.144614636435,80.7277583647922,165.879888094852,197.612630771462,158.272576895889
"CERS5","CERS5","CERS5",95.0996002852156,52.1485731785607,32.0290397781773,17.9750354073987,30.2700740830929,32.9462665313819,40.2214861304126,38.9553018419704,18.9897349749372,25.657050688942,19.0834549103448,27.3033081926224,74.9614899101642,51.6070762961762,54.398982628099,41.2884983206667
"LIMA1","LIMA1","LIMA1",1.30273425048241,1.53378156407532,27.1014951969192,32.954231580231,6.98540171148298,21.3181724614824,14.851010263537,32.4627515349753,10.6817259234022,16.9227355607915,48.5760670445139,47.6566833907592,2.88313422731401,12.9017690740441,11.101833189408,30.9663737405
"LARP4","LARP4","LARP4",19.5410137572361,44.4796653581842,36.9565843594353,56.9209454567626,32.5985413202539,36.822297888015,51.3597438280653,49.992637363862,71.2115061560146,55.1353642464498,82.6949712781607,68.5064823742163,37.4807449550821,31.3328677512499,46.6276993955134,14.9097355046852
"DIP2B","DIP2B","DIP2B",36.4765590135074,39.8783206659582,4.92754458125804,19.9722615637764,24.4489059901904,24.2251959789573,6.1879209431404,38.9553018419704,9.49486748746862,15.2850514742633,18.5051683979101,28.7925795485837,86.4940268194202,25.8035381480881,26.6443996545791,44.7292065140556
"ATF1","ATF1","ATF1",48.201167267849,36.8107575378076,41.8841289406933,59.9167846913291,39.0018262224466,45.5433684404396,29.0832284327599,65.5747581006501,43.9137621295423,51.314101377884,42.2149154077324,47.6566833907592,23.0650738185121,39.6268621559925,27.7545829735199,65.3734556743889
"METTL7A","METTL7A","METTL7A",614.890566227696,616.580188758277,716.957736573045,252.649108781771,231.100373288229,343.997782901193,706.660571706634,473.30691737994,1077.66745982769,437.807545798542,334.827890699685,161.337730229133,1894.2191873453,679.185986255034,908.12995489357,598.683225649667
"SLC11A2","SLC11A2","SLC11A2",20.8437480077185,96.6282385367449,12.3188614531451,67.9056893168396,68.1076666869591,120.156972055628,43.3154466019828,46.0971071796649,49.8480543092102,40.9421021632053,60.7200838056424,99.2847570640816,158.57238250227,46.0777466930145,48.848066033395,135.334522273296
"LETMD1","LETMD1","LETMD1",260.546850096481,338.965725660645,66.5218518469835,92.8710162715601,33.7627749388344,36.822297888015,122.52083467418,50.6418923945615,109.190976105889,57.8648377239968,43.9497749450364,72.9742964421,123.974771774502,67.2735101718012,52.1786159902174,94.0460239526297
"CSRNP2","CSRNP2","CSRNP2",2.60546850096481,10.7364709485272,4.92754458125804,7.98890462551055,7.56751852077323,6.78305487410803,3.0939604715702,3.24627515349753,2.37371687186715,7.09663104162225,9.83087071138973,4.46781406788367,2.88313422731401,8.29399440474261,5.55091659470398,0
"TFCP2","TFCP2","TFCP2",207.134745826703,220.864545226845,145.362565147112,218.696264123351,79.1678860634738,113.37391718152,174.499370596559,239.575106328118,181.589340697837,179.599354822594,171.172807680668,153.891373449326,170.104919411526,113.351256864816,154.315481332771,200.707977947685
"POU6F1","POU6F1","POU6F1",9.11913975337684,12.2702525126025,17.2464060344031,7.98890462551055,5.82116809290248,5.81404703494974,3.71275256588424,4.54478521489654,5.93429217966789,0.545894695509404,6.36115163678159,3.47496649724286,14.41567113657,0,4.44073327576318,3.44070819338889
"DAZAP2","DAZAP2","DAZAP2",5425.88815325922,3990.89962972397,2739.71478717947,1744.57704759587,1480.90516283439,1970.96194484796,3105.09872926785,1978.92933357209,1941.70040118733,1947.20637888204,1092.96150850156,1507.14261223276,7579.75988360853,2755.44925224227,3619.19761974699,4484.38967871685
"SMAGP","SMAGP","SMAGP",10.4218740038592,1.53378156407532,12.3188614531451,17.9750354073987,11.642336185805,23.256188139799,15.469802357851,3.89553018419704,8.30800905153504,9.82610451916927,19.0834549103448,14.3962897742918,5.76626845462802,4.60777466930145,0,5.73451365564815
"BIN2","BIN2","BIN2",252.730444593587,265.34421058503,421.305061697562,303.578375769401,271.266433129256,196.708591349133,198.632262274807,241.522871420216,394.037000729948,306.246924180776,291.456402267084,265.586725146418,149.922979820328,244.212057472977,296.418946157192,161.713285089278
"CELA1","CELA1","CELA1",0,3.06756312815063,0,1.99722615637764,1.1642336185805,0,0.61879209431404,0,8.30800905153504,1.63768408652821,0,0.496423785320408,0,0,1.1101833189408,0
"GALNT6","GALNT6","GALNT6",46.8984330173666,44.4796653581842,39.4203566500643,16.9764223292099,27.3594900366417,24.2251959789573,22.8953074896195,18.8283958902857,9.49486748746862,16.3768408652821,31.2274716714733,15.8855611302531,2.88313422731401,11.0586592063235,6.66109991364477,32.1132764716296
"SLC4A8","SLC4A8","SLC4A8",1.30273425048241,9.2026893844519,14.7826337437741,6.99029154732173,5.23905128361224,0,4.33154466019828,7.79106036839407,2.37371687186715,1.63768408652821,6.93943814921628,1.98569514128163,0,1.84310986772058,5.55091659470398,8.02831911790741
"ACVRL1","ACVRL1","ACVRL1",22.1464822582009,13.8040340766778,12.3188614531451,3.99445231275527,10.4781025672245,11.6280940698995,8.66308932039656,33.1120065656748,18.9897349749372,30.5701029485266,11.5657302486938,7.44635677980612,5.76626845462802,21.1957634787867,27.7545829735199,10.3221245801667
"ACVR1B","ACVR1B","ACVR1B",1.30273425048241,0,19.7101783250322,13.9805830946435,36.0912421759954,12.5971019090578,9.2818814147106,21.4254160130837,4.74743374373431,15.8309461697727,4.04800558704283,9.43205192108775,11.532536909256,24.8819832142278,17.7629331030527,10.3221245801667
"GRASP","GRASP","GRASP",61.2285097726731,69.0201703833892,9.85508916251608,47.9334277530633,119.333945904501,112.404909342362,65.5919619972883,85.7016640523348,124.620135773026,36.0290499036207,31.8057581839079,48.1531071760796,233.533872412435,78.3321693781246,46.6276993955134,65.3734556743889
"NR4A1","NR4A1","NR4A1",16.9355452562713,59.8174809989373,39.4203566500643,72.8987547077837,71.0182507334103,93.9937603983542,144.178557975171,123.358455832906,68.8377892841475,46.9469438138088,157.87221789467,112.688199267733,63.4289530009082,22.117318412647,48.848066033395,115.837175844093
